job_id,project_id,user_email,dataset,table_name,creation_date,bytes_processed_tb,estimated_cost_gbp,duration_seconds,partition_filter_used,clustered_table,cache_hit,query_pattern
bq_job_00001,customer-analytics-prod,analyst@company.com,finance_reporting,events_daily,2026-06-05,5.07,25.84,1241,Yes,Yes,No,Full table scan
bq_job_00002,risk-reporting-prod,data.engineer@company.com,audit_logs,control_results,2026-05-31,7.21,36.76,827,No,No,No,Join-heavy query
bq_job_00003,customer-analytics-prod,service-account@company.com,audit_logs,control_results,2026-05-20,1.74,8.85,190,No,No,No,Partition scan
bq_job_00004,security-analytics-prod,analyst@company.com,raw_ingestion,payments,2026-06-05,1.65,8.43,3406,Yes,Yes,No,Join-heavy query
bq_job_00005,security-analytics-prod,data.engineer@company.com,audit_logs,control_results,2026-05-29,9.14,46.63,900,No,Yes,No,Scheduled ELT
bq_job_00006,data-platform-prod,analyst@company.com,audit_logs,transaction_fact,2026-05-30,45.29,230.96,911,No,No,No,Join-heavy query
bq_job_00007,security-analytics-prod,analyst@company.com,audit_logs,access_logs,2026-06-02,1.54,7.83,6099,Yes,Yes,No,Join-heavy query
bq_job_00008,data-platform-prod,service-account@company.com,raw_ingestion,events_daily,2026-05-19,17.43,88.88,1696,No,No,No,Scheduled ELT
bq_job_00009,fraud-detection-prod,analyst@company.com,customer_events,access_logs,2026-06-05,53.28,271.75,4505,Yes,Yes,Yes,Join-heavy query
bq_job_00010,data-platform-prod,analyst@company.com,ml_features,access_logs,2026-06-02,1.37,7.01,6117,Yes,Yes,No,Dashboard refresh
bq_job_00011,data-platform-prod,analyst@company.com,audit_logs,control_results,2026-05-11,35.6,181.58,6281,No,Yes,No,Scheduled ELT
bq_job_00012,risk-reporting-prod,service-account@company.com,customer_events,payments,2026-05-14,1.11,5.64,2209,Yes,No,No,Join-heavy query
bq_job_00013,security-analytics-prod,service-account@company.com,audit_logs,transaction_fact,2026-05-23,32.6,166.27,1828,No,Yes,No,Ad-hoc analysis
bq_job_00014,customer-analytics-prod,data.engineer@company.com,ml_features,access_logs,2026-06-05,1.33,6.79,7153,Yes,No,No,Dashboard refresh
bq_job_00015,customer-analytics-prod,service-account@company.com,ml_features,audit_evidence,2026-06-05,9.97,50.85,1802,No,No,Yes,Full table scan
bq_job_00016,customer-analytics-prod,analyst@company.com,curated_warehouse,audit_evidence,2026-05-25,10.99,56.07,1194,No,No,No,Ad-hoc analysis
bq_job_00017,data-platform-prod,service-account@company.com,ml_features,payments,2026-05-20,3.93,20.05,2469,No,No,Yes,Join-heavy query
bq_job_00018,fraud-detection-prod,analyst@company.com,security_events,transaction_fact,2026-05-10,1.19,6.04,4508,No,No,No,Scheduled ELT
bq_job_00019,data-platform-prod,data.engineer@company.com,audit_logs,customer_profile,2026-05-09,18.29,93.26,417,Yes,No,No,Join-heavy query
bq_job_00020,security-analytics-prod,data.engineer@company.com,ml_features,control_results,2026-05-15,10.61,54.11,2483,No,No,No,Ad-hoc analysis
bq_job_00021,customer-analytics-prod,analyst@company.com,ml_features,payments,2026-05-29,9.98,50.89,700,Yes,No,No,Join-heavy query
bq_job_00022,fraud-detection-prod,service-account@company.com,customer_events,events_daily,2026-06-02,11.9,60.68,5516,Yes,Yes,No,Partition scan
bq_job_00023,fraud-detection-prod,service-account@company.com,raw_ingestion,customer_profile,2026-05-30,13.66,69.68,6140,Yes,No,Yes,Ad-hoc analysis
bq_job_00024,fraud-detection-prod,data.engineer@company.com,raw_ingestion,events_daily,2026-05-22,0.82,4.2,5310,Yes,No,Yes,Ad-hoc analysis
bq_job_00025,data-platform-prod,service-account@company.com,audit_logs,security_findings,2026-05-09,7.71,39.31,2262,Yes,Yes,Yes,Join-heavy query
bq_job_00026,customer-analytics-prod,data.engineer@company.com,ml_features,access_logs,2026-05-11,0.92,4.67,388,Yes,No,No,Ad-hoc analysis
bq_job_00027,risk-reporting-prod,analyst@company.com,customer_events,transaction_fact,2026-05-24,0.13,0.65,1835,Yes,Yes,No,Full table scan
bq_job_00028,data-platform-prod,service-account@company.com,curated_warehouse,access_logs,2026-05-14,5.93,30.23,4188,Yes,Yes,Yes,Scheduled ELT
bq_job_00029,customer-analytics-prod,data.engineer@company.com,raw_ingestion,security_findings,2026-05-24,6.41,32.68,867,Yes,No,Yes,Partition scan
bq_job_00030,security-analytics-prod,service-account@company.com,raw_ingestion,security_findings,2026-05-20,8.83,45.04,1472,Yes,Yes,Yes,Scheduled ELT
bq_job_00031,risk-reporting-prod,service-account@company.com,ml_features,control_results,2026-05-31,9.72,49.57,2191,No,Yes,Yes,Dashboard refresh
bq_job_00032,data-platform-prod,data.engineer@company.com,raw_ingestion,access_logs,2026-05-13,1.14,5.82,1684,Yes,No,No,Scheduled ELT
bq_job_00033,data-platform-prod,analyst@company.com,finance_reporting,security_findings,2026-05-16,8.98,45.78,6944,No,No,No,Full table scan
bq_job_00034,fraud-detection-prod,data.engineer@company.com,curated_warehouse,audit_evidence,2026-05-24,1.18,6.04,277,No,No,No,Partition scan
bq_job_00035,data-platform-prod,service-account@company.com,raw_ingestion,events_daily,2026-05-15,0.98,5.0,4909,Yes,No,Yes,Ad-hoc analysis
bq_job_00036,fraud-detection-prod,data.engineer@company.com,audit_logs,security_findings,2026-05-21,2.96,15.07,1549,No,No,Yes,Scheduled ELT
bq_job_00037,security-analytics-prod,analyst@company.com,ml_features,security_findings,2026-06-02,0.53,2.68,556,No,No,No,Scheduled ELT
bq_job_00038,data-platform-prod,service-account@company.com,ml_features,transaction_fact,2026-05-23,1.36,6.93,773,No,No,No,Join-heavy query
bq_job_00039,risk-reporting-prod,data.engineer@company.com,raw_ingestion,events_daily,2026-05-26,50.41,257.08,1909,Yes,Yes,No,Full table scan
bq_job_00040,fraud-detection-prod,analyst@company.com,customer_events,security_findings,2026-05-12,8.27,42.18,4545,Yes,No,No,Join-heavy query
bq_job_00041,security-analytics-prod,data.engineer@company.com,curated_warehouse,events_daily,2026-05-16,1.38,7.05,3228,Yes,No,No,Scheduled ELT
bq_job_00042,data-platform-prod,analyst@company.com,ml_features,payments,2026-05-22,19.64,100.16,4507,No,No,No,Ad-hoc analysis
bq_job_00043,data-platform-prod,service-account@company.com,raw_ingestion,security_findings,2026-05-30,1.42,7.25,6445,No,Yes,No,Dashboard refresh
bq_job_00044,fraud-detection-prod,data.engineer@company.com,curated_warehouse,payments,2026-05-26,1.39,7.1,3533,Yes,No,Yes,Ad-hoc analysis
bq_job_00045,customer-analytics-prod,data.engineer@company.com,audit_logs,control_results,2026-05-15,21.33,108.79,2757,Yes,Yes,Yes,Scheduled ELT
bq_job_00046,fraud-detection-prod,analyst@company.com,ml_features,events_daily,2026-06-01,0.31,1.58,449,Yes,Yes,No,Join-heavy query
bq_job_00047,data-platform-prod,analyst@company.com,curated_warehouse,audit_evidence,2026-05-28,0.81,4.11,6870,No,Yes,No,Dashboard refresh
bq_job_00048,risk-reporting-prod,data.engineer@company.com,raw_ingestion,payments,2026-05-17,1.45,7.41,4181,Yes,No,No,Scheduled ELT
bq_job_00049,security-analytics-prod,data.engineer@company.com,raw_ingestion,transaction_fact,2026-05-24,1.38,7.03,6971,Yes,No,No,Join-heavy query
bq_job_00050,data-platform-prod,analyst@company.com,raw_ingestion,security_findings,2026-05-27,0.31,1.56,3421,Yes,No,Yes,Dashboard refresh
bq_job_00051,risk-reporting-prod,service-account@company.com,audit_logs,security_findings,2026-05-27,6.13,31.29,397,Yes,No,No,Dashboard refresh
bq_job_00052,customer-analytics-prod,analyst@company.com,security_events,transaction_fact,2026-05-17,9.52,48.56,7162,No,No,Yes,Partition scan
bq_job_00053,risk-reporting-prod,data.engineer@company.com,finance_reporting,security_findings,2026-05-09,0.92,4.7,6416,Yes,No,Yes,Scheduled ELT
bq_job_00054,risk-reporting-prod,analyst@company.com,finance_reporting,customer_profile,2026-05-20,26.76,136.49,5680,Yes,No,No,Scheduled ELT
bq_job_00055,risk-reporting-prod,analyst@company.com,finance_reporting,payments,2026-05-24,44.65,227.7,5311,No,Yes,No,Partition scan
bq_job_00056,data-platform-prod,analyst@company.com,security_events,transaction_fact,2026-05-21,0.28,1.44,6349,Yes,Yes,Yes,Dashboard refresh
bq_job_00057,security-analytics-prod,data.engineer@company.com,finance_reporting,security_findings,2026-05-22,49.63,253.09,5022,Yes,No,Yes,Full table scan
bq_job_00058,fraud-detection-prod,service-account@company.com,customer_events,security_findings,2026-05-11,1.36,6.93,4692,Yes,No,Yes,Join-heavy query
bq_job_00059,customer-analytics-prod,analyst@company.com,finance_reporting,transaction_fact,2026-06-07,0.47,2.41,457,No,No,No,Ad-hoc analysis
bq_job_00060,security-analytics-prod,service-account@company.com,customer_events,access_logs,2026-05-29,1.14,5.8,6138,No,Yes,Yes,Dashboard refresh
bq_job_00061,risk-reporting-prod,analyst@company.com,raw_ingestion,audit_evidence,2026-05-16,0.12,0.6,6099,Yes,No,No,Partition scan
bq_job_00062,risk-reporting-prod,service-account@company.com,ml_features,audit_evidence,2026-05-13,4.55,23.19,173,No,Yes,No,Dashboard refresh
bq_job_00063,fraud-detection-prod,analyst@company.com,curated_warehouse,control_results,2026-05-15,3.51,17.89,4486,Yes,No,No,Ad-hoc analysis
bq_job_00064,customer-analytics-prod,analyst@company.com,finance_reporting,control_results,2026-05-10,9.03,46.05,1227,Yes,No,No,Join-heavy query
bq_job_00065,data-platform-prod,service-account@company.com,finance_reporting,security_findings,2026-06-04,6.34,32.34,6204,Yes,No,No,Join-heavy query
bq_job_00066,customer-analytics-prod,data.engineer@company.com,audit_logs,transaction_fact,2026-06-03,51.7,263.69,71,Yes,Yes,Yes,Ad-hoc analysis
bq_job_00067,fraud-detection-prod,service-account@company.com,customer_events,access_logs,2026-05-27,3.8,19.37,2547,Yes,No,No,Ad-hoc analysis
bq_job_00068,security-analytics-prod,service-account@company.com,security_events,transaction_fact,2026-05-21,48.54,247.53,2998,No,Yes,No,Full table scan
bq_job_00069,risk-reporting-prod,service-account@company.com,audit_logs,events_daily,2026-05-09,40.93,208.77,30,Yes,Yes,No,Join-heavy query
bq_job_00070,data-platform-prod,analyst@company.com,ml_features,access_logs,2026-06-03,52.2,266.22,6366,No,No,No,Scheduled ELT
bq_job_00071,fraud-detection-prod,analyst@company.com,curated_warehouse,transaction_fact,2026-05-31,52.24,266.41,489,Yes,No,No,Partition scan
bq_job_00072,security-analytics-prod,service-account@company.com,audit_logs,customer_profile,2026-05-30,56.72,289.26,963,Yes,Yes,No,Dashboard refresh
bq_job_00073,security-analytics-prod,data.engineer@company.com,finance_reporting,audit_evidence,2026-06-01,38.38,195.75,4771,Yes,No,No,Dashboard refresh
bq_job_00074,data-platform-prod,service-account@company.com,security_events,audit_evidence,2026-06-03,40.85,208.34,6143,No,Yes,No,Dashboard refresh
bq_job_00075,fraud-detection-prod,data.engineer@company.com,audit_logs,payments,2026-05-25,9.61,49.01,6104,Yes,Yes,Yes,Ad-hoc analysis
bq_job_00076,risk-reporting-prod,service-account@company.com,finance_reporting,security_findings,2026-05-18,0.99,5.05,1381,No,Yes,No,Scheduled ELT
bq_job_00077,customer-analytics-prod,analyst@company.com,security_events,security_findings,2026-06-01,6.56,33.46,1746,No,No,No,Scheduled ELT
bq_job_00078,risk-reporting-prod,service-account@company.com,curated_warehouse,transaction_fact,2026-05-24,1.93,9.82,6143,No,Yes,No,Join-heavy query
bq_job_00079,customer-analytics-prod,data.engineer@company.com,audit_logs,transaction_fact,2026-06-01,1.94,9.89,6762,Yes,Yes,Yes,Scheduled ELT
bq_job_00080,fraud-detection-prod,service-account@company.com,raw_ingestion,security_findings,2026-06-03,1.66,8.49,4268,No,No,Yes,Scheduled ELT
bq_job_00081,security-analytics-prod,analyst@company.com,ml_features,payments,2026-05-29,1.03,5.24,5900,Yes,Yes,Yes,Scheduled ELT
bq_job_00082,risk-reporting-prod,service-account@company.com,ml_features,control_results,2026-06-01,21.91,111.72,4476,No,Yes,No,Partition scan
